scen,Pothole,rankm,Drainage,Tillage,lulc.pothole,lulc.field,capa.ratio,max.h2oshed.relief,max.flow.path,max.depth,catm3,catm6
Drain2NT,lettuce,1.41942597,medium,notill,CS,CS,6.3,5.39,239.8,0.8,c,e
Drain2Retired,lettuce,1.483961144,medium,conventional,R,CS,6.3,5.39,239.8,0.8,c,e
Drain2RetiredAll,lettuce,0.464733121,medium,N/A,R,CS,6.3,5.39,239.8,0.8,c,f
Drain2RetiredCT,lettuce,1.341667509,medium,contill,R,CS,6.3,5.39,239.8,0.8,c,e
Drain2RetiredNT,lettuce,1.295480105,medium,notill,R,CS,6.3,5.39,239.8,0.8,c,e
Drain3NT,lettuce,0.731070262,high,notill,CS,CS,6.3,5.39,239.8,0.8,c,f
Drain3Retired,lettuce,1.055045289,high,conventional,R,CS,6.3,5.39,239.8,0.8,c,e
Drain3RetiredAll,lettuce,0.280377981,high,N/A,R,CS,6.3,5.39,239.8,0.8,c,f
Drain3RetiredCT,lettuce,0.905966548,high,contill,R,CS,6.3,5.39,239.8,0.8,c,f
Drain3RetiredNT,lettuce,0.656398149,high,notill,R,CS,6.3,5.39,239.8,0.8,c,f
NoTill,lettuce,2.466948729,low,notill,CS,CS,6.3,5.39,239.8,0.8,b,d
NoTillRetired,lettuce,8.223823239,none,notill,R,CS,6.3,5.39,239.8,0.8,a,a
PlantDate1,lettuce,3.043761428,low,conventional,CS,CS,6.3,5.39,239.8,0.8,b,d
PlantDate2,lettuce,2.750536086,low,conventional,CS,CS,6.3,5.39,239.8,0.8,b,d
PlantDate3,lettuce,2.550008214,low,conventional,CS,CS,6.3,5.39,239.8,0.8,b,d
PlantDate4,lettuce,2.405939091,low,conventional,CS,CS,6.3,5.39,239.8,0.8,b,d
RetiredAll,lettuce,2.374081895,none,N/A,R,R,6.3,5.39,239.8,0.8,b,d
RetiredPothole,lettuce,9.39410623,none,conventional,R,CS,6.3,5.39,239.8,0.8,a,a
Base,mouth,4.890760252,none,conventional,R,CS,10.2,5.624,350.3,0.4,b,c
BaseRetired,mouth,5.008084182,none,conventional,R,CS,10.2,5.624,350.3,0.4,b,c
